location_id,collection_location,address,lon,lat
LOC01,'s-Hertogenbosch,"Citadellaan 26, 5211 XB Den Bosch",5.304158611,51.69632717
LOC02,Amsterdam,"Gooiseweg 11, 1097 ST Amsterdam",4.926536873,52.34738671
LOC03,Breukelen,"A2 E35, OZ, 3621 ZZ Breukelen",4.987963996,52.18347539
LOC04,Gouda,"A12 E30/E25 ZZ, 2804 VW Gouda",4.705348833,52.03989276
LOC05,Heemstede,"Leidsevaartweg 13, 2106 NA Heemstede",4.593110707,52.33239154
LOC06,Hillegom,"Meerlaan 106, 2181 BV Hillegom",4.586419386,52.29114791
LOC07,Muiden,"A1 E231 NZ, 1398 PW Muiden",5.083665792,52.32171744
LOC08,Nieuw-Vennep,"Gersteweg 7, 2153 GE Nieuw-Vennep",4.645330494,52.26593617
LOC09,Rotterdam,"Maasboulevard 10, 3063 NM Rotterdam",4.515460076,51.91547956
LOC10,Santpoort-Noord,"Broekbergenlaan 1-3, 2071 EV Santpoort-Noord",4.645456875,52.43011849
LOC11,Uithoorn,"Zijdelweg 53, 1421 TC Uithoorn",4.818184411,52.24419723
LOC12,Waalwijk,"Spuiweg 25, 5145 NE Waalwijk",5.042779129,51.69510267
LOC13,Waalwijk,"Winterdijk 25, 5141 KE Waalwijk",5.061968688,51.69087712
LOC14,Waspik,"Schoolstraat 9A, 5165 TR Waspik",4.947188069,51.6857284
LOC15,Wijk en Aalburg,"Maasdijk 22, 4261 AD Wijk en Aalburg",5.13551494,51.75357721
